Comment,Technology Related ,Public Safety Related,Gold Standard
ALPR sited in receptive neighborhoods so logs can help track down criminals,1,1,Both
"Why is this a question? It is 2022, why would technology not be used to improve public services?",1,0,Technology
Electronic updates on city bus/public transportation schedules.,1,0,Technology
Traffic light sensors that detect pedestrians and oncoming traffic,1,1,Both
text alerts when there is a active shooter or traffic jam/accident,1,1,Both
"Access to evidence-based public health related data. It's hard to decipher what's ""true"" from various social media platforms. ",1,1,Both
Connect complimentary services across departments in order to provide a holistic response.,0,0,Neither
"More accessible and easy to navigate websites and information about public services, including about transportation and healthcare options. Increasing online service options for different public services, like self serve portals or online meetings where possible or for contacting the city to get information or forms.",1,0,Technology
Improving public transportation to shopping locations would lesson traffic and increase efficiency.,0,0,Neither
To help safely and securely clear trash and litter from cities,0,0,Neither
Notifications of the way technology is already being used. An app for bus routes,1,0,Technology
Classes,0,0,Neither
Internet access,1,0,Technology
Better live data,1,0,Technology
"Better access to internet , better sidewalks an roads",1,0,Technology
Updated safety info,0,1,Public Safety
Input for highway needs (new & improve),0,0,Neither
Improve access to info.; Continue to support libraries and parks; Bringing more Wi-Fi spots for people to access.,1,0,Technology
Easier interaction and ways to contact the city with questions or comments,0,0,Neither
Better understand demand timing (eg rush hour) and adjust and align service offerings to satisfy demand.,0,0,Neither
Inclusive design,0,0,Neither
Access to information is critical for people to have to manage their own health and healthcare. It is critical that they know how to get evidence based information and not have to rely on social media means.,0,1,Public Safety
Better accessibility,0,0,Neither
"Provide housing, health and educational resources for low income and homeless. somehow help them become aware of how their vote can help. Also get rid of the dumb laws that make it difficult for people to vote. Don't even get me started on the freedom taken away from women to make choices that effect their lives. ",0,0,Neither
Let's create detailed maps for disabled folks that show accessibility around SA,0,0,Neither
Electrical Trolly Buses/ Light Rail,0,0,Neither
"I would like to technology to be used to improve internet connectivity, metro transit and smart city integration ",1,0,Technology
Better wifi.,1,0,Technology
Better wifi,1,0,Technology
Apps that are trusting and safe,1,0,Technology
Help health services,0,0,Neither
To help the people,0,0,Neither
More public transport; Making things more affordable,0,0,Neither
Easier accessibility to see what San Antonio is providing to their citizens,0,0,Neither
rail,0,0,Neither
Make the use of servaces easier and more convient to use,0,0,Neither
Inform and explain why some things aren't exceptacal even if it sounds weird and stupid,0,0,Neither
"Increase who has access to technology, especially people with low incomes. ",1,0,Technology
"Have a lite rail in San Antonio And regular train services to Austin, Dallas, and Houston
Have technology that can keep it cooler in San Antonio. Maybe create more shade.",0,0,Neither
Make mutual aid and community programs more seen,0,0,Neither
"At via stop, signs show next arrival times",1,0,Technology
Solar panels as a main source of electricity; faster and more efficient trains; make communities for regenerative; make information and services for accessible and equitable.,1,0,Technology
Make it available for everyone and fund the underfunded districts and quit over funding the police,0,0,Neither
Improve accessibility and information,0,0,Neither
Improved access to high speed internet for all of San Antonio and rail throughout the city.,0,0,Neither
Signal priority for bus transit,0,0,Neither
"more awareness, apps that are easy to navigate for various public services",1,0,Technology
"Environmental protection and a water policy that disincentivizes larger companies/landowners from having huge lawns that only contribute to a monoculture of plants, causing further problems for the heat dome. Trains/light rail for the general populace and a robust online system/API that allows users to see where they are. ",1,0,Technology
"Technology can help to improve accessibility and education on such services as high-speed rail transit, improving/ upgrading our power energy grid, as well as increasing transparency and awareness of local policy decisions with opportunities for participation. Using QRC codes as a way to collect public input as well as a way to disperse information is just one example that comes to mind. ",1,0,Technology
To give us shorter way of traveling to and from to our transportation.,0,0,Neither
Able to contact city on a timely manner.,0,0,Neither
"Moving all city services on-line, including access to records.",1,0,Technology
cut down useless and poorly designed technology and less shortwave radiation and invasion of privacy. People can live without your so call useless technology,1,0,Technology
That it is affordable and reliable,0,0,Neither
Free internet everywhere in bexar county,1,0,Technology
Apps,1,0,Technology
It should b accessible to all communities,0,0,Neither
More police,0,1,Public Safety
Ease of use for elderly,0,0,Neither
More centralized access to all city/government offices,0,0,Neither
More WiFi options,1,0,Technology
Easier for the elderly,0,0,Neither
Let the horrible traffic give SA enough data to know that the emissions are harmful to our environment and health and that it's a big waste of time to sit in traffic and bad for physical and mental health. The traffic in SA is awful. We are a fossil fool city.,0,0,Neither
"Better cellular networks around the city to provide reliable access when necessary. Their are so many spots where some folks cannot get cellular service for messages, calls, maps, etc.",1,0,Technology
use drones or highway cameras to monitor traffic violations such as street racing,1,1,Both
"Transportation technology (trams, light rail, intercity rail) + accessible wifi ",1,0,Technology
No response,0,0,Neither
"Make better mobile friendly websites and apps to link citizens and public transportation like buses, taxis, bike sharing, airports, etc.",1,0,Technology
"1. Integrate local, state, and national health data tracking so we can make better decisions on where to direct resources. In general integrating all public safety systems and databases would be desirable. 2. Monitoring sewage like some other cities are doing for early detection of disease trends.
3. Bring access to online technology to all areas of the city. Concentrate access and education in underserved areas.
4. Integration of communication for all of the various public safety organizations within the county.
5. Develop a long range (30 years) plan for maintenance of essential infrastructure (water, sewer, roads, power, etc.). ",1,1,Both
"Using technology to better geo thermal, solar and wind energy that already exists. ",1,0,Technology
"Expand street Kiosks to provide pertinent City information, improve street lights to reduce wait times and congestion, improve public engagement with residents",1,0,Technology
Better understand where people are traveling to better target future transit investment,0,0,Neither
To count all the big huge trucks driving with only one person in them. An app to track crime in neighborhoods. An app where you can select on a map exactly where the pothole/or broken sidewalk needs to be fixed.,1,0,Technology
user friendly websites,0,0,Neither
Streamlining the services provided by various city departments; make it so that people in each city department have more information/access to what is being done in other departments.,0,0,Neither
To help people find the agency or organization that can help them with a particular problem.,0,0,Neither
Improve the 311 app and provide better updates and information.,1,0,Technology
Every one can be conected,0,0,Neither
Lights on the street,0,0,Neither
To create a more efficient transportation system. Allowing everyone on the city to have a chance to commute even those without vehicles,0,0,Neither
Easy access to public assistance and information for local residences and small business,0,0,Neither
"There can be a city-wide San Antonio digital ID system that connects things like your library card with bus transport. You can earn points by being a good citizen (interacting positively with public facilities) to be ""cashed in"" for various benefits or services.",1,0,Technology
Ease of public input,0,0,Neither
"Eliminate in person visit requirements, paper forms, and increase accessibility for those who can't afford the time or expense to visit city offices. ",0,0,Neither
QR codes to access Wifi in public areas that share environmental information about that particular area.,1,0,Technology
Better transparency and community engagement!,0,0,Neither
Public transportation scheduling and communication improvements,0,0,Neither
"Data-driven transit systems, especially a rail system, that connects a developing downtown economy to other inner-410 communities, as well as surrounding suburbs. Data can be used to determine strategic locations for stops and routes that would make such services accessible to the average family to use as a primary means of transportation. This would likely work in conjunction with the development of walkable communities centered in various already-existing ""hubs.""",1,0,Technology
"A high speed railway for fast, affordable commutes, better and more widespread information about upcoming elections, renew drivers licenses and car registration fully online, expand ebook and eaudiobook selections on the library website/app, more widespread information and instructions for ozone action days",1,0,Technology
First we have to get more internet access to outlining neighborhoods.,1,0,Technology
"Track vehicle usage to improve traffic flow and perhaps targeted feedback (not tickets, but a violation of sorts). ",0,0,Neither
"Via trans and Via Link scheduling should be further out, and could be with a better interface",0,0,Neither
"Team with Southwest Research Institute to solve urban heat island, traffic congestion, air quality, and other problems",0,0,Neither
I'm not sire,0,0,Neither
"Access to basic digital infrastructure, especially to students, student in low income areas. Make sure our youth have access to and exposure to technology in low income areas. Especially from their homes.",1,0,Technology
Easy access mobile applications to request a prompt public service response.,1,0,Technology
"Provide no/low-cost Internet services to low-income households. Replace ""beg button"" pedestrian traffic signal activation with passive sensing.",1,0,Technology
More hubs for families that don't have access to computers to be able to use the resources,0,0,Neither
Provide easy access to do things online and be able to schedule zoom meetings for anyone who has questions for a particular dept. A virtual open door policy.,1,0,Technology
Streamline gov service and make them access online.,0,0,Neither
"Easy to use, easy to find subject matter. Real online solutions and responses ",1,0,Technology
"security on public transportation. improving safety on the roads, ie stopping j walkers stepping out into moving traffic, stopping scooters being used on sidewalks and scooters unsafely swerving back and forth on the roads.",0,1,Public Safety
complete transparency at all levels accessable to all.,0,0,Neither
Provide more individualized means for feedback on city projects (i.e. where sidewalks and bike lanes are built).,0,0,Neither
Modern rail system connecting neighborhoods to points of interest.,0,0,Neither
Na,0,0,Neither
Fund free internet/wifi in low income neighborhoods,1,0,Technology
Rail Transit,0,0,Neither
Accessible internet service to all residents.,1,0,Technology
"To deliver better services (iternet, etc.) at lower cost",1,0,Technology
It needs to be user-friendly!! Current websites are difficult to navigate.,1,0,Technology
I would like the ability to comment on public decisions and for example the 311 app to be improved for increased user friendliness.,1,0,Technology
"More convenient ways to contact the city (ie texting 311, city council office, or departments) More ways to expand internet access to all to be able to access resources provided by the city
Wifi access in more city facilities and places (parks, stop lights, etc)",1,0,Technology
Use data collected to prepare for the future. How much housing is needed? How much is inflation rising? Where can you build multi-use areas that are affordable?,1,0,Technology
Make it easier to access information online without a lot of searching around.,1,0,Technology
Ethically ie not collecting personal identifiable information. Equal access to services not discriminatory to lower income classes ie requiring smartphones and internet service to receive benefits or use of QR codes to access vital information that should otherwise be displayed visibly,1,0,Technology
Use technology to enforce laws. Security cameras throughout downtown and major intersections. Clean up the city and update and enforce codes for clean restaurants and public bathrooms.,1,0,Technology
All the high-tech low-hanging fruit has already been picked. I would like to see a municipal AM or FM station for public information broadcasts. If the power goes out for an extended period cell phone service may be down or overloaded with traffic and a battery-powered AM/FM receiver may be the only way to receive information.,1,0,Technology
More routine services available to be filed/paid securely through the internet.,1,0,Technology
"Comprehensive, interactive map of the hike/bike/run/walk trails throughout San Antonio, updated with construction, flooding, and closure information.",1,1,Both
"- better portals for EV charging (and more of them), parking downtown, and weatherization - better data that is more widely shared on water usage and availability + improving efficiencies
",1,0,Technology
Prioritize making digital processes the standard. Most services can be done online.,1,0,Technology
"To give people a better quality of life--access to healthcare, east to understand data, free internet coverage, better public transportation and safe, affordable and environmentally housing. ",1,1,Both
"Where I come from, all bus stops and electric train stations have big, covered, and safe bus stop waiting seats with digital boards that display the next 3 to 5 (some bigger stops downtown display even more) arrival times. The other side of those digital boards display city resources that cycle, and upcoming city events.",1,1,Both
"First we need citywide broadband--then people should be able to use City website more easily to find what they're looking for, to attend meetings and view explainers about how local government works",1,0,Technology
"Technology needs to make public services accessible, transparent, and reliable. It should also be utilized in a way that reduces the reliance on human capital to execute services, thereby making it less prone to error and more streamlined/cost effective.",1,0,Technology
Increased transportation options and better coordination to fix streets and infrastructure more quickly.,0,1,Public Safety
"Reduce road congestion, crime and pollution.",0,1,Public Safety
Make it accessible and understandable to the older generations. Bilingual technology literacy is also very important.,1,0,Technology
leverage technology for those that are most at risk of poor access to healthcare. Healthcare literacy and poor access to healthcare continues to be a city wide issue.,1,0,Technology
"Improve Public Transportation - better WiFi, connected systems showing real-time arrival expectations at major stops (based on transit app), information centers showing routes (based on downtown information panels).",1,0,Technology
use technology to improve social services and transportation,1,0,Technology
I would like to see technology used to improve my commute time. It currently takes me 45 minutes to get downtown with traffic vs 20 minutes without.,1,0,Technology
"USE GIS to better serve police, fire protection, engineering",1,1,Both
accessing appointments and services in real time- to include telehealth or virtual meetings with development services and code compliance,1,0,Technology
"I think we need easier to use technology (phone, text) so the general public across the board can more easily obtain services.",1,0,Technology
Better security enhancements to keep private information secure.,1,0,Technology
"Use City GIS for much more than what it is used for now, and be made available on an app.",1,0,Technology
"Use of the latest technology to support public safety operations. Ex. Intersection cameras, body cams, identify crime trends in areas of San Antonio.",1,1,Both
Access to public information,1,0,Technology
More access to public data from anywhere,1,0,Technology
No really sure.,0,0,Neither
Better cybersecurity.,1,0,Technology
"Share road construction information with Waze and Google Maps, launch free wi-fi citywide - not just in City facilities, implement automated vehicle location (AVL) technology for police and fire to control stoplights so they can get through more quickly, implement smart streetlighting, get all City services with a bill to be paid online.",1,0,Technology
"Text messages, a video call, ",1,0,Technology
Self-driving carpool service and commuter rail,0,0,Neither
affordable phone service for all; increased use of solar energy to make the city less dependent on the Texas grid,1,0,Technology
make it easy to google the answers we are looking for?,1,0,Technology
access to free events,0,0,Neither
Light rail transportation across the city of San Antonio as well as to and from Austin. More solar powered streetlights in dark areas to help reduce crime.,1,1,Both
Fast response time for emergency Better roads ,0,1,Public Safety
"Upgrade Police and Fire IT systems, bring them into the modern age.",1,0,Technology
Apps to make information about public services more available to the public would be great.,1,0,Technology
The ability to receive emails regarding available funding programs to assist in utility services.,1,0,Technology
"I would absolutely love the development of a commuter rail/train throughout San Antonio. It would help to reduce all of the traffic in San Antonio and therefore be more environmentally friendly. You could create stops at all of the major workplaces and event centers. I also think that we could do so much to integrate technology to improve our environment, especially to reduce our effect on climate change. We could create environmentally friendly green parks on all of the roofs in downtown and major buildings. We could use machines to reduce the amount of carbon in our air especially in parts of the city that are known to create more carbon emissions. This would improve our public's rate of asthma and respiratory related incidences and improve our populations quality of life. ",1,1,Both
Public cameras and speeding cameras,1,0,Technology
Ease of availability to all.,0,0,Neither
enhancing the relationship between the citizen and public services. Smoother access to public services.,0,0,Neither
Using technology on the back-end and creating an unbiased way to identify the areas that need the most improvement (instead of going where the money is - we need to create an equitable way to do this),1,0,Technology
Make it easier and safer to access the internet.,1,0,Technology
Expand internet connectivity to economically challenged neighborhoods to ensure that all children have internet access to narrow the digital divide and ensure equal opportunities in education,1,0,Technology
In some way to better inform people about resources available to them.,0,0,Neither
"It's about time we entertain a bullet train. One that stops in San Antonio but is capable of going to Austin, Dallas, and Houston.",0,0,Neither
Improve traffic conditions,0,0,Neither
Going green. More electric vehicles. Better communication through the latest tech.,1,0,Technology
"Perhaps having an affordable internet service for ALL San Antonio Residents, especially those areas that have been forgotten and keep being forgotten.",1,0,Technology
To make our lives easier and reduce inequities across the city,0,0,Neither
Create protected bicycle lanes.,0,1,Public Safety
"I love the 311 to fix potholes. I'd like safer streets and less congestion on highways, especially in case of wrecks.",0,1,Public Safety
More options to take care of things online in an easy to understand way.,1,0,Technology
Easier to find and request services.,0,0,Neither
"Just using technology to help poorer areas get the knowledge to connect with services that can help them, like help to find cheap and good food, clothes, and medical advice and knowledge services.",1,0,Technology
"Real-time, specific bus info (arrivals, departures) at the station and integrated with Google maps. No more apps please.",1,0,Technology
Stop wasting money,0,0,Neither
"send text msgs about alerts in the city, regional or area specific, about trash, garbage, recycle, traffic light/pavement/construction and street light maint. including more public services.",1,0,Technology
Make it all connected...incorporate AI and data to make public services EASY and accessible for ALL people in the language that is most comfortable for them.,1,0,Technology
"Technology should be easy, accessible and implemented across all city services. For example, I should be able to pull a garage sale permit from my mobile phone, I should be able to report a non emergency issue and know where to do that without scouring the whole internet. ",1,0,Technology
"Keep interfaces for public engagement simple! 311 is a mess and does not have enough categories, and citizens don't have access to see resolution notes. It's so frustrating! ",1,0,Technology
Opportunities for me to connect with my government and share my voice. The ability to access online resources easily. Opportunities for me to access healthcare including telehealth. Improve response times for services like the Fire Department or 311.,1,0,Technology
"Upgrade the power and electricity infrastructure so the power doesn't go out every time it gets cold. The city can use technology to keep us informed about Covid and other important public health or safety news. Use technology to reduce pollution, ban single use plastics, better recycling facilities and keep our city clean and green. If you check the weather channel app, San Antonio has several days a week when the air quality is hazardous. I bet you didn't know that. The city should know that. We are a very polluted city. Driving in San Antonio is a death sentence, speeders and bad drivers are the norm and the city does nothing to monitor or control it. I want red light cameras and police monitoring the speeders in my area of town which is Vance Jackson, Lockhill Selma, Huebner and Wurzbach area. It's not safe to drive with speeders driving 60mph in front of our schools and houses. Put cameras to ticket these speeders or have police around to catch them and fine them. If you go the speed limit on Vance Jackson (35), you're subjected to honking, tail gaiting and aggressive road rage behavior from the drivers behind you. I've had several incidents happen to me simply by going the speed limit. It's scary and dangerous and the city does nothing ",1,1,Both
"I would like to see technology improved to capture data that better informs us of how businesses, local government, and individuals can reduce our negative impact on the planet. I would also like to see increased opportunities for more sustainable transportation options. I would like to see technology used to educate individuals on environmental topics in everyday places.",1,0,Technology
better access for everyone,0,0,Neither
"make info easier to get and easier to report issues and then get updates on them. expand the free wifi to all of the parks. have QR codes located at locations like parks, within convention center and alamodome to report issues",1,0,Technology
The first step is to ensure equal access to technology. We need to ensure every home has access to services. We have areas of the city with little to no access to technology. As a city we should be supplementing this.,1,0,Technology
"I would like technology to specifically be used to improve public transportation options, including trains",1,0,Technology
Look into permanent resolutions for connectivity issues and wireless access throughout the city.,1,0,Technology
Communication equipment/other,1,0,Technology
better highway systems and roads to reduce traffic.,0,0,Neither
Something that's attainable but city leadership doesn't have the belief in their team to execute.,0,0,Neither
"better systems create better quality. Use technology to inform residents of San Antonio on critical actions and decisions, reach out to residents using Nextdoor app, Facebook, etc.",1,0,Technology
"Install cameras monitoring public spaces and parks, have drive thru electric vehicle charging stations, install solar panels on all city buildings, have battery backups.",1,0,Technology
Using popular media outlets (like social media) more effectively to communicate information. Each division should have it's own social media page to get the word out about what's going on.,1,0,Technology
"Move more services, fees, billings and related collections online.",1,0,Technology
By creating a commuter rail. A bus system between Austin and San Antonio only incentivizes VIA> It will take hours to make the commute and people cannot travel 3 hours each way to get to their job.,0,0,Neither
provide inexpensive internet for the less fortunate and elderly.,1,0,Technology
"Provide up to date, straight forward, easy to access information that will allow me to choose public services when needed. ",1,0,Technology
Online reporting,1,0,Technology
I would like for it to be used to help make it easier to get a hold of services,0,0,Neither
Efficiency,0,0,Neither
Using older technologies to their fullest. Telephones that are answered by real people etc.,1,0,Technology
"que se usara la tecnologia para ayudar a la comunidad a mejorar el uso de los servicios publicos, y ahorrar de una manera mas trasparente, usar la tecnologia para improvisar, avanzar, prevenir con sugerencias o ideas para ser incluidos desde nuestros hogares (that technology will be used to help the community improve the use of public services, and save in a more transparent way, use technology to improvise, advance, prevent with suggestions or ideas to be included from our homes) ",1,0,Technology
"I would like technology to be used for communication. To inform citizens of events, accidents, scheduled maintenance, etc.",1,0,Technology
Street lights synched using WiFi technology. Real time traffic alerts.,1,0,Technology
"Cameras in and around schools, high crime areas and tourist areas would be great for safety reasons",1,0,Technology
"Create efficient, affordable solutions in the realms of public transportation, environmental safety and quality, and medicine. Public rail service technologies should be implemented in San Antonio where the current public transportation system offers limited utility to a small portion of the population. Rail service and improved public transportation would help reduce traffic in San Antonio, reduce pollution, reduce congestion, and improve public safety be removing drivers from the roadways. It also makes the city more accessible to visitors and improves quality of life for the city's workers who must commute to work but struggle to do in a timely and affordable manner due to the current state of VIA.",0,0,Neither
Gratis (Free),0,0,Neither
"Creating simple to use apps that provide real time information. For example, software applications that keep track of public busses to see route information, or hardware sensors built into the road reflectors the work with already built in car sensors to keep track of traffic flow on our roads and highways. ",1,0,Technology
more easily navigable website.,1,0,Technology
Hear community voices and see what is needed in each area,0,0,Neither
Don't know,0,0,Neither
Use data to improve water and air quality and thereby improve the quality of life of San Antonio residents.,1,0,Technology
Que todo influyera en favor de mejorar (May everything influence in favor of improvement),0,0,Neither
"accessibility of public services through mobile devices and affordable, sustainable mass transportation",1,0,Technology
"Citizen voting, access to parking spots, ",0,0,Neither
Help deliver better and easy services to elderly. They get left behind when it comes to technology.,1,0,Technology
Easy to find detailed information on all types of public services. Most current news and updates,1,0,Technology
M‡s comunicaci—n,0,0,Neither
Make internet accessible and affordable in all homes.,1,0,Technology
Better communication of services,0,0,Neither
Complete projects and other activities faster,0,0,Neither
proporcionando mas informacion sobre nuevas oportunidades de todo tipo para los residentes. (providing more information about new opportunities of all kinds for residents.),0,0,Neither
eliminating the use of paper. I don't think San Antonio should lose to much of its traditional character that's what makes our city unique. Many are not looking to create a digital world especially in San Antonio just a sprinkle of technology.,1,0,Technology
"It would be nice to have a central database of video that might be available in an area, from businesses or ring doorbells or traffic cameras - not storage, but something like the alarm permit system where police can look up an area, see if there is video, and find contact information for the person responsible for the video.",1,0,Technology
"Locating information on housing support and other social services is confusing and frustrating. I work in a library and time and time again assist patrons through a very convoluted way to find the information they need, and they often require 2 or more trips to the library to conduct their research.",1,0,Technology
"As a pedestrian, i have to be careful when trying to use the crosswalk. I may have the right of way, but drivers don't respect pedestrian. They should have camera's or some type of technology to discourage drivers from ignoring pedestrian right of way. Any part of Hildebrand , San Pedro and Fredericksburg .",1,1,Both
"AI backed online chat service to answer common questions, making easy access to outage information.",1,0,Technology
Visually impaired people can have easier access to technology,1,0,Technology
do we use smart technology with SAPD on gunshots to alert SAPD before a call is even received? being heard like South Bend Indiana has done. If not called in - police there canvas neighborhood and meet and talk with residents in area,1,1,Both
"I like the 311 app but not it's gamification. I just need an app that won't collect personal data but will get the job done. If I see a problem then I can report it via the app. Simple. I would like an app that maps our park system with exceptional UX design. Something searchable, indexed, and well planned with functional links out to other city services. ",1,0,Technology
"To provide the community with affordable internet in their homes so they can access public information, contact health services, and enhance their education.",1,0,Technology
Process applications efficiently.,0,0,Neither
Update old computers in all the public libraries.,1,0,Technology
Improved accessibility to learn about what public services are available and the importance of each of them.,0,0,Neither
More direct communication from City about neighborhood meetings and also services available. Most people don't know about all the things the City offers.,0,0,Neither
"Monitor and prioritize areas of the City to focus on improving clean air, water, and cooler temperatures, ensure Safe sidewalks and streets for walking and wheeling connected to green space and convenient and affordable transportation options and services (library, school, parks grocery, etc.). ",0,1,Public Safety
Upgrading city video cameras and adding cameras to river walk/downtown area. To decrease crime.,1,0,Technology
attempting to become carbon neutral,0,0,Neither
better interaction with the public,0,0,Neither
Insure my personal information is not compromised.,0,0,Neither
use it to notify public of road closures or emergencies,0,1,Public Safety
An open vote application for voting on public housing development. I think dense missing middle housing that is rent to own that matches the residential design aesthetic in defunct shopping spaces would be a better development utilization than twisting arms to build in the middle of established residential areas. This lessens housing demand and is not expecting private citizens to fill in those market demands with faulty solutions like casitas. It's also an easier fix than lobbying for zone changes if it's enacted by the city as an ordinance.,0,0,Neither
awareness of programs & services,0,0,Neither
"To make services more efficient, less time consuming.",0,0,Neither
Measuring traffic data and building roads accordingly.,1,0,Technology
Ease,0,0,Neither
Send out more Emergency alerts. Make technology easier for disable persons.,1,0,Technology
More free public Wi-Fi,1,0,Technology
More integration with mobile apps and notifications.,1,0,Technology
Technology to improve public services --- have more Road Signs be visible to view when driving in the night hours - making sure that the street lights are working properly,1,1,Both
public transport,0,0,Neither
Solar panels,1,0,Technology
"Use technology to Allow more public input and authority over decisions that City Council makes, must have voters approval before making changes or decisions on anything. ",1,0,Technology
climate change needs to be addressed,0,0,Neither
free access for low income neighborhoods,0,0,Neither
More accessible for students in low income households.,0,0,Neither
Reduce the number of clicks to get to desired services and update all sites with current information.,1,0,Technology
"Improve crime prevention and response by using technology such as smart cameras that can read license plates, used data to help reduce & prevent crime. ",1,1,Both
"Improve efficiency, reduce spending, save energy. ",0,0,Neither
by being able to make transportation pick up and drop off easier also to be able to read the bus schedules online,1,0,Technology
Crime suppression,0,1,Public Safety
Access for all and making scheduling services more efficiently.,0,0,Neither
Two areas come to mind instantly: 1) Give me one secure place I can go to submit payment for various city services/fees/etc... 2) Give me a central starting point for all City Services offered so I can easily find the help I need,0,0,Neither
Having the most recenet information possible,0,0,Neither
Create more and easier access to opportunities to work from home.,0,0,Neither
"Outreach. The city needs to forward deploy engagement teams to neighborhoods in the most need of services using data driven decisions on locations and priorities, also using evidence based policies that have proven to positively impact people's lives.",1,0,Technology
Reduce wait times by scheduling online appointments and filling out paperwork online,1,0,Technology
"I would like to see it used wisely and with purpose. I would like to see technology used as a tool to help solve the problems SA is facing, not be employed for technologies sake.",1,0,Technology
"I personally rather speak to someone in person about any type of legal assistance. For those who have no mobile way then yes, Internet access would be helpful with a chat person on the other end where you can receive guidence on what steps are needed to receive help on your issues.",1,0,Technology
Don't know,0,0,Neither
"More mobile IKE kiosks to access City information and services in highly-visited areas like parks, health offices, near schools, etc.",1,0,Technology
Do not know,0,0,Neither
"In order for technology to improve public services, specifically via computer or phone application, it should be easily available and accessible to all members of the public. ",1,0,Technology
"I would like green energy to be a larger portion of the energy businesses and consumers use. I'd like better batteries for that storage of green energy, but NO BATTARY BUSSES (electrified trams are better).",1,0,Technology
Still able to access a person to talk to and not a machine.,0,0,Neither
The thought of having city services on one webpage is an idea. a person can click on the service needed or interested in would be easier for the citizen to web surf. City libraries should have more computers for the public who cannot afford one due to many services going paperless.,1,0,Technology
More internet access to everyone .,1,0,Technology
Everything needs to be more user friendly. The City is always purchasing/subscribing to programs with the lowest bidder and they never seem to be user friendly.,1,0,Technology
Hopefully being accessible to the people who need it.,0,0,Neither
Faster/more lines incase of imergencies,0,1,Public Safety
To improve environment such as litter and waste in San Antonio,0,1,Public Safety
Free wifi,1,0,Technology
Create a platform for acs where fosters and individuals with microchip scanners can sign up to help out those who find strays. There has to be some solutions besides holding a random dog you found for 7 days to get acs to come.,1,0,Technology
VIA has used text messages and cellphones instead of paper tickets which helps reduce our footprint. If we could keep advancing to help ppl use their phones to get safe transportation would be wonderful.,1,0,Technology
"Better access to information, developing user-friendly applications for citizens to use without roadblocks, and create more educational resources for citizens on their local government. ",1,0,Technology
Secure and easy to use portals of City and County services,1,0,Technology
"It's all about access. There needs to be more computers, WIFI, and better options for low-cost in-home internet. With only a handful of companies in town you're stuck with whichever one is where you live- Spectrum, Xfinity, etc. It makes no sense for my internet that cost $40 a month to jump to $70 a month simply because I'm going to continue using it. So many more people are working from home these days, access is EVERYTHING.",1,0,Technology
"Walkable streets, protected bike lanes, food accessibility, Wifi for all",1,1,Both
Ease long slow processes and increase access,0,0,Neither
Integrate traffic and population databases to implement and improve public transportation.,1,0,Technology
Better ways to use technology to create alternative modes of transit other than cars.,0,0,Neither
Better public outreach in time of public health crisis. Not covid since that was a world wide issue but during monkeypox. It was very hard to get access to vaccines.,0,1,Public Safety
"Reduce crime, stop the know drug homes in E SA.",0,1,Public Safety
providing real-time chat support and/or rapid response email support.,1,0,Technology
FREE AND ACCESSIBLE TO USE FOR EVERYONE.,0,0,Neither
Better internet infrastructure in City buildings to be able to provide a better experience for all who come through the city.,1,0,Technology
Everything from trash pickup to response times to public information and data could be improved with streamlined technology.,1,0,Technology
Be able to sign up on line for city services to avoid having to wait in line and getting a text message when you are up next,1,0,Technology
Ways to more quickly and efficiently access the public services I need.,0,0,Neither
"A city with information seamlessly and constantly be transmitted between departments, services, and the city and its citizens. Where any citizen who is need of something can get on their device and easily access help/ resources online.",1,0,Technology
"A city with robust and diverse transportation infrastructure, built around the needs of the people living in it instead of cars.",0,0,Neither
like the country of Switzerland with a national/regional/city public transport system with a govt app or Amsterdam with a walkable city,1,0,Technology
Overpaying consultants to implement technology we don't need,1,0,Technology
cleaner cities with greater civil independence and self-sufficiency,0,0,Neither
Open data and decisions based upon that insight. More engaged government and govt services through tech/G2C portals. Tech that eases public transport.,1,0,Technology
A city that measures its services utilizing the latest technology in an automated fashion to produce real-time information,1,0,Technology
Expansion of the surveillance state,0,0,Neither
"Public dashboards that inform city residents of issues related to health and well-being, education, transportation, etc. Public dashboards are a way for city government to be transparent with residents. In addition to public dashboards, data gathered by the city and used for decision making should be publicly available for journalist and citizen data-scientists. Of course, privacy should be taken into consideration and efforts to """"anonymize"""" data should be taken. ",1,0,Technology
"A city that is involved, is engaged with residents, and anticipates needs rather than reacting passively to events.",0,0,Neither
"A city with affordable solar housing with lots of native plants growing in windowsills, alleyways, and streets, and a subway system for inexpensive and accessible transportation. As well as this, a smart city has walkable streets and public areas for people to hang out. Finally, a smart city has spaces for the homeless to stay. If not housing, they deserve areas protected from the elements for them to sit down and camp.",1,1,Both
"Hybrid, energy conserving",1,0,Technology
"Buildings with rooftop greenery, integrated solar/wind energy, and renewable and clean methods of agriculture ",1,0,Technology
Not living as if it were 1960 any longer. Using data to make decisions and not policies based on politics. Smart means not prioritizing cars and educating the population there are smarter options.,1,0,Technology
Cleanliness for sure!,0,1,Public Safety
Easy access to dashboards containing useful information in a real-time matter.,1,0,Technology
"Fiber internet for ALL, public accessibility ports, massive public transport infrastructure ",1,0,Technology
"integrated services, increased efficiency (ex: smart lighting)",1,0,Technology
"Lots of electricity available, indoor garden, temperature control. Nature.",1,0,Technology
Easy connection to public services of all kinds; efficient public transportation; improved management of resources and services,0,0,Neither
